name,email,title,department,photo,homepage,bio,photo_ext,department_url
Tom Mitchell,,University Professor,Machine Learning,http://www.ml.cmu.edu/people/people-images/Mitchell_Provence_July2010_cropped%20WEB.jpg,http://www-2.cs.cmu.edu/~tom/,"Dr. Mitchell works on new learning algorithms, such as methods for learning from labeled and unlabeled data. Much of his research is driven by applications of machine learning such as understanding natural language text, and analyzing fMRI brain image data to model human cognition.",people-images/Mitchell_Provence_July2010_cropped%20WEB.jpg,http://www.ml.cmu.edu/people/core-faculty.html
Alan Montgomery,,Associate Professor,Machine Learning,http://www.ml.cmu.edu/people/people-images/montgomery-relaxed-2013_cropped.jpg,http://public.tepper.cmu.edu/facultydirectory/FacultyDirectoryProfile.aspx?id=100,Dr. Montgomery works on the application of data mining and statistical analysis to solve marketing problems. His research has focused on developing price and promotional strategies from purchase transaction data and the analysis of clickstream data to predict consumer behavior in online environments.,people-images/montgomery-relaxed-2013_cropped.jpg,http://www.ml.cmu.edu/people/core-faculty.html
Andrew W. Moore,,"Professor, Dean of the School of Computer Science",Machine Learning,http://www.ml.cmu.edu/people/people-images/moore_115.jpg,http://www.cs.cmu.edu/~awm/,Dr. Moore's research interest is data mining...the exciting world of algorithms for finding all the potentially useful and statistically meaningful patterns in massive sources of data.,people-images/moore_115.jpg,http://www.ml.cmu.edu/people/core-faculty.html
Robert Murphy,,"Professor, Department Head of Computational Biology",Machine Learning,http://www.ml.cmu.edu/people/people-images/murphy2009.115.jpg,http://murphylab.web.cmu.edu/,"Dr. Murphy's principal interest is in computational biology, the application of computers to solve problems in biology. In particular, he is interested in the application of machine learning methods to biological images (especially microscope images depicting subcellular location), the application of active learning methods for analyzing and modeling complex biological phenoma, and the development of knowledge bases relating to protein properties from both text and images in online sources.",people-images/murphy2009.115.jpg,http://www.ml.cmu.edu/people/core-faculty.html
BarnabÃ¡s PÃ_czos,,Assistant Professor,Machine Learning,http://www.ml.cmu.edu/people/people-images/poczos2015_115.jpg,http://www.cs.cmu.edu/~bapoczos/,"Dr. PÃ_czos' research interests lie in the theoretical questions of statistics and their applications to machine learning, computer vision,astronomy, and bioinformatics.",people-images/poczos2015_115.jpg,http://www.ml.cmu.edu/people/core-faculty.html
Pradeep Ravikumar,,Associate Professor,Machine Learning,http://www.ml.cmu.edu/people/people-images/Ravikumar_Pradeep115.jpg,http://www.cs.cmu.edu/~pradeepr,"Dr. Ravikumar's research interests are in the area of statistical machine learning broadly. The core problem here has a ""comptastical"" imperative that combines the statistical imperative of inferring reliable conclusions from limited observations or data, with the computational imperative of doing so with limited computation. His recent research has been on the foundations of such statistical machine learning, with particular emphasis on graphical models, optimization and high-dimensional statistical inference.",people-images/Ravikumar_Pradeep115.jpg,http://www.ml.cmu.edu/people/core-faculty.html
Roni Rosenfeld,,Professor,Machine Learning,http://www.ml.cmu.edu/people/people-images/rosenfeld%20WEB.jpg,http://www.cs.cmu.edu/~roni/,"Dr. Salakhutdinov's primary interests lie in artificial intelligence, machine learning, deep learning, and large-scale optimization. His main research goal is to understand the computational and statistical principles required for discovering structure in large amounts of data.",people-images/rosenfeld%20WEB.jpg,http://www.ml.cmu.edu/people/core-faculty.html
Ruslan Salakhutdinov,,Associate Professor,Machine Learning,http://www.ml.cmu.edu/people/people-images/salakhutdinov1151.jpg,http://www.cs.toronto.edu/~rsalakhu/,"Dr. Salakhutdinov's primary interests lie in artificial intelligence, machine learning, deep learning, and large-scale optimization. His main research goal is to understand the computational and statistical principles required for discovering structure in large amounts of data.",people-images/salakhutdinov1151.jpg,http://www.ml.cmu.edu/people/core-faculty.html
Jeff Schneider,,Research Professor,Machine Learning,http://www.ml.cmu.edu/people/people-images/schneider.jpg,http://www.cs.cmu.edu/~schneide/,"Dr. Schneider's research interests are in Machine Learning, reinforcement learning, optimization, and decision making. He has applied his methods to business applications ranging from process control, to production scheduling and inventory management, to long range strategic planning.",people-images/schneider.jpg,http://www.ml.cmu.edu/people/core-faculty.html
Cosma Shalizi,,"Associate Professor, Co-Director of ML Graduate Programs",Machine Learning,http://www.ml.cmu.edu/people/people-images/Shalizi_WEB.jpg,http://www.stat.cmu.edu/~cshalizi/,"Dr. Shalizi has research interests in Nonparametric model discovery of state-space/hidden Markov models and stochastic automata; dynamical-systems analysis of learning processes; applications of information theory, large deviations and ergodic theory in statistical inference; complex network models; heavy-tailed distributions.",people-images/Shalizi_WEB.jpg,http://www.ml.cmu.edu/people/core-faculty.html
Aarti Singh,,Associate Professor,Machine Learning,http://www.ml.cmu.edu/people/people-images/singh%20WEB.jpg,http://www.cs.cmu.edu/~aarti/,"Dr. Singh's research interests lie at the intersection of signal processing and statistical machine learning. She is interested in developing techniques that can adaptively exploit the information structure inherent in complex and large-scale systems for efficient inference. The primary thrust of her research is on bridging the gap between theoretically optimal and practically useful methods, for diverse applications ranging from the Internet, wireless and sensor networks, to bioinformatics and brain imaging.",people-images/singh%20WEB.jpg,http://www.ml.cmu.edu/people/core-faculty.html
Alex Smola,,Professor,Machine Learning,http://www.ml.cmu.edu/people/people-images/smola115.jpg,http://alex.smola.org/,"My primary research interest covers the following four areas:Scalability of algorithms. This means pushing algorithms to internet scale, distributing them on many (faulty) machines, showing convergence, and modifying models to fit these requirements. For instance, randomized techniques are quite promising in this context. In other words, I'm interested in big data.Kernels methods are quite an effective means of making linear methods nonlinear and nonparametric. My research interests include support vector Machines, gaussian processes, and conditional random fields. Kernels are very useful also for the representation of distributions, that is two-sample tests, independence tests and many applications to unsupervised learning.Statistical modeling, primarily with Bayesian Nonparametrics is a great way of addressing many modeling problems. Quite often, the techniques overlap with kernel methods and scalability in rather delightful ways.Applications, primarily in terms of user modeling, document analysis, temporal models, and modeling data at scale is a great source of inspiration. That is, how can we find principled techniques to solve the problem, what are the underlying concepts, how can we solve things automatically.",people-images/smola115.jpg,http://www.ml.cmu.edu/people/core-faculty.html
Ryan Tibshirani,,Assistant Professor,Machine Learning,http://www.ml.cmu.edu/people/people-images/tibshirani115.jpg,http://www.stat.cmu.edu/~ryantibs/,"Dr. Tibshirani's research is mainly focused on statistical methods that exploit sparsity and sparse structures, from both the applied and theoretical perspectives. His research interests also include more ""traditional"" statistics topics (like degrees of freedom and cross-validation), algorithms and optimization, and the statistics of sports and games.",people-images/tibshirani115.jpg,http://www.ml.cmu.edu/people/core-faculty.html
Manuela Veloso,,"University Professor, Department Head",Machine Learning,http://www.ml.cmu.edu/people/people-images/Veloso_WEB.jpg,http://www.cs.cmu.edu/~mmv/,"Professor Manuela Veloso works in the field of artificial intelligence, including robotics and learning. Her long-term research goal is the effective construction of teams of intelligent physical agents where cognition, perception, and action are integrated to address planning, execution, and learning tasks.",people-images/Veloso_WEB.jpg,http://www.ml.cmu.edu/people/core-faculty.html
Larry Wasserman,,Professor,Machine Learning,http://www.ml.cmu.edu/people/people-images/wasserman_small%20WEB.jpg,http://www.stat.cmu.edu/~larry/,"Dr. Wasserman's research interests include nonparametric inference, multiple testing, asymptotic theory, causality, and applications to astrophysics and genetics.",people-images/wasserman_small%20WEB.jpg,http://www.ml.cmu.edu/people/core-faculty.html
Eric Xing,,"Professor, Associate Head for Research",Machine Learning,http://www.ml.cmu.edu/people/people-images/xing%20WEB.jpg,http://www-2.cs.cmu.edu/~epxing/,"Dr. Xing's principal research interests lie in the development of machine learning and statistical methodology; especially for solving problems involving automated learning, reasoning, and decision-making in high-dimensional and dynamic possible worlds; and for building quantitative models and predictive understandings of natural and built systems. His current work involves, 1) foundations of statistical learning, including theory and algorithms for estimating time/space varying-coefficient models, sparse structured input/output models, and nonparametric Bayesian models; 2) computational and statistical analysis of gene regulation, genetic variation, and disease associations; and 3) application of statistical learning in social networks, data mining, computer vision.",people-images/xing%20WEB.jpg,http://www.ml.cmu.edu/people/core-faculty.html
Yiming Yang,,Professor,Machine Learning,http://www.ml.cmu.edu/people/people-images/yang%20WEB.jpg,http://www-2.cs.cmu.edu/~yiming/,"Yiming Yang is a professor in the Language Technologies Institute and the Machine Learning Department in the School of Computer Science at Carnegie Mellon University.  Her research has centered on statistical learning methods and their applications to a variety of challenging problems, including text categorization, utility (relevance and novelty) based information distillation from temporally ordered documents, learning to order interrelated prediction tasks, modeling non-deterministic user interactions in multi-session information filtering, personalized active learning for collaborative filtering, personalized email prioritization using social network analysis, cancer prediction based protein/gene expressions in micro-array data, and protein identification from tandem mass spectra.",people-images/yang%20WEB.jpg,http://www.ml.cmu.edu/people/core-faculty.html
